"EID","DOI","Year","DocumentType","CitedBy","SourceTitle","Queries","Score","Themes","Title","Abstract","AbstractFound"
"2-s2.0-85192156525","10.1109/TIE.2024.3387096","2024","Article","10","IEEE Transactions on Industrial Electronics","S1,S4","19","Temporal/Generalization, Maneuver, Uncertainty","Resilient Flight Control for a 32g Nano Helicopter","Nano helicopter unmanned air vehicles (NHUAVs) offer significant advantages due to their compact size, maneuverability, and cost-effectiveness, making them versatile and flexible platforms for various applications. Despite these merits, achieving full autonomy in NHUAV control presents challenges including multivariable, strongly coupled nonlinear systems, susceptibility to external disturbances, uncertainty in system dynamics, and altitude loss during sharp turns. This article introduces a novel robust adaptive bidirectional fuzzy brain emotional learning (BFBEL) control strategy to address these challenges and achieve stable pose control and highly accurate trajectory tracking for uncertain NHUAVs. The BFBEL controller integrates fuzzy inference, a neural network, and a bidirectional brain emotional learning (BBEL) mechanism, enabling rapid adaptation and precise flight control. Implemented on a customized 32g NHUAV platform, the proposed control algorithm demonstrates remarkable performance in the presence of wind disturbance and system uncertainty. The obtained results underscore the superiority of BFBEL, showcasing significant advancements over self-adaptive sliding surface-based Takagi-Sugeno fuzzy control and conventional PID control approaches in terms of robustness to disturbances and trajectory tracking precision. ? 1982-2012 IEEE.","Yes"
"2-s2.0-85140011554","10.1155/2022/3262228","2022","Article","4","Wireless Communications and Mobile Computing","S1,S4","18","Temporal/Generalization, Maneuver, Uncertainty","Design of the UAV Trajectory Tracking System Based on the Adaptive Neural Network - ADRC Method","In order to solve the problems of internal uncertainty and external disturbance of an unmanned aerial vehicle (UAV), this paper proposes the active disturbance rejection controller (ADRC) based on the adaptive radial basis function (RBF) neural network. Firstly, the dynamic model of a quadrotor with disturbance is analyzed and the controller is designed based on the ADRC method. Secondly, the RBF network is used to estimate the unknown parameter b of the system and the Lyapunov function is constructed to prove the stability of the closed-loop system. Finally, simulation results of a spiral ascent and a climbing maneuver flight illustrate that the controller proposed in this paper has high tracking accuracy and strong robustness under different flight scenarios; the average tracking error of the outdoor flight experiment is about 0.22 m, which further verifies the effectiveness of the proposed controller.  ? 2022 Xin Cai et al.","Yes"
"2-s2.0-105023955420","10.1155/mse/8830284","2025","Article","0","Modelling and Simulation in Engineering","S1,S4","18","Temporal/Generalization, Maneuver, Uncertainty","Adaptive Neural-Augmented High-Order Sliding Mode Control for Integrated UAV Guidance in Uncertain Environments","This study proposes a novel integrated guidance and control (IGC) framework for unmanned aerial vehicles (UAVs) operating in uncertain and time-varying environments. The core of the framework is an Adaptive Continuous High-Order Sliding Mode Controller (ACHOSMC) augmented with a fully online neural network (NN) that adaptively tunes control gains in real time based solely on instantaneous tracking errors eliminating the need for any offline training or prior model knowledge. Unlike conventional sliding mode schemes, the continuous high-order formulation significantly suppresses chattering while ensuring finite-time convergence, even under severe disturbances and modeling uncertainties. The nonlinear UAV dynamic model, decomposed into independently modeled pitch, yaw, and roll channels with structured interchannel uncertainties, provides a rigorous benchmark for evaluation. Computational feasibility is experimentally validated on an STM32-class embedded processor, demonstrating a total adaptation-and-control cycle time of 0.6 ms, enabling update rates well above 100 Hz for agile maneuvering. Comprehensive simulations compare the proposed ACHOSMC?NN with PID, SMC, and CHOSMC controllers in demanding trajectory-tracking scenarios. Results show consistent improvements in tracking precision, convergence speed, robustness to disturbances, and smoothness of control signals. These contributions position the proposed method as a computationally efficient, chattering-free, and adaptively self-tuning IGC solution for UAV missions such as autonomous logistics, precision agriculture, infrastructure monitoring, and high-maneuverability inspection tasks. Copyright ? 2025 Mohamad Mahdi Soori and Seyed Hossein Sadati. Modelling and Simulation in Engineering published by John Wiley & Sons Ltd.","Yes"
"2-s2.0-85199037649","10.2514/6.2023-1482","2023","Conference paper","0","AIAA SciTech Forum and Exposition, 2023","S1,S4","18","Temporal/Generalization, Maneuver, Uncertainty","Online Parameter Estimation Within Trajectory Optimization for Dynamic Soaring","We propose a novel control architecture incorporating online parameter estimation along side MPC with application to dynamic soaring. Dynamic soaring is a process that has prompted recent research which allows a UAV to extract energy from wind gradients to stay aloft, there by minimizing the need for propulsive action during flight. However, to properly execute dynamic soaring maneuvers sufficient information about the wind gradient and aerodynamic properties of the UAV is required. Much of the research on dynamic soaring has focused on offlinetra jectory optimization. Either no estimation of parameters is incorporated, or estimation serves to inform decisions based on an existing library of trajectories or neural networks trained on offline-generated data points. Other work has been done on online trajectory planning in the form of Model Predictive Control (MPC), but estimation is rarely incorporated. Our propose dal gorithm combines parameter estimation with online trajectory optimization to create a risk aware framework which is able to select control inputs to minimize the impact of uncertainty and learn the true values of environmental and aerodynamic parameters. We also show that our Sequential Monte Carlo-based online parameter estimation method performs similarly under identical conditions to Markov Chain Monte Carlo. We also establish deterministic MPC as a baseline and show that our algorithm performs similarly to deterministic MPC with known parameters. In a comparison of deterministic MPC with known parameters, deterministic MPC with unknown parameters, and our algorithm, we show the positive impact of learning on the ability of MPC to maintain energy levels throughout the soaring process. Finally, after arobustness analysis, we report good performance of the algorithm under a variety of conditions both generally and in comparison to deterministic MPC. ? 2023, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Yes"
"2-s2.0-105032806016","10.1109/LRA.2026.3674011","2026","Article","0","IEEE Robotics and Automation Letters","S3","17","Temporal/Generalization, Maneuver, Uncertainty","Vision-Based Autonomous Drone Landing on Moving Platforms With Uncertain Motion via Deep Reinforcement Learning","This paper addresses vision-based autonomous landing of quadrotor drones on moving platforms with uncertain motion. Vision is attractive due to its low weight, low cost, and ability to provide direct relative observations without global reference frames. However, traditional visual landing relies on requiring accurate estimation and tuning, which limits robustness. Deep reinforcement learning (DRL) offers a data-driven alternative but often degrades under motion uncertainty or intermittent visual loss from a limited field of view (FOV). The key challenge is active perception, maintaining visual observability of the landing pad under FOV constraints during aggressive maneuvers. To address this challenge, we propose a vision-based DRL framework that jointly learns perception, estimation, and control, guided by an active-perception reward that couples visibility maintenance with control performance for stable touchdown. Simulation results demonstrate robustness over visual servoing and existing DRL baseline, including landings on a platform moving at speeds up to 8 m/s under limited visibility. Real-world experiments further confirm the feasibility and stability of the proposed approach.  ? 2026 IEEE.","Yes"
"2-s2.0-105018090517","10.2514/6.2025-3396","2025","Conference paper","0","AIAA Aviation Forum and ASCEND, 2025","S1","17","Temporal/Generalization, Maneuver, Uncertainty","Real-time Pose-aware Dynamic Path Planning","This work investigates efficient means of generating low-risk paths for unmanned aerial vehicles (UAVs) in the presence of radar sites. This problem is difficult to solve in real time due to the probabilistic nature of the radar detection model as well as the anisotropy of radar cross section of the vehicle. This couples the vehicle?s path and orientation into the objective and constraints, leading to challenging optimization problems. In this work, we propose a novel approach that is capable of generating risk-aware maneuvers in real time in these environments. The proposed approach consists of three modules: a global planner, a local planner, and an imitation learning module. The global planner aims to generate a goal-reaching path which is then refined by the local planner to reduce the risk. Then imitation learning technique is applied to reduce the inference time of the path generation process. Simulation experiments are performed to demonstrate both the efficiency (93.6% reduction in computation time on average) and the generalization capability of the proposed method. ? 2025 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.","Yes"
"2-s2.0-85135737408","10.1109/TSMC.2022.3193377","2023","Article","50","IEEE Transactions on Systems, Man, and Cybernetics: Systems","S1,S4","16","Temporal/Generalization, Uncertainty","Self-Tuning Sliding Mode Control for an Uncertain Coaxial Octorotor UAV","Sliding mode control (SMC), which is well known to its insensitivity to parameter uncertainties and robustness against various disturbances, has been widely adopted for some types of underactuated systems, including multirotor unmanned aerial vehicles (UAVs). This article is absorbed in developing a self-tuning SMC strategy to perform the robust and adaptive tracking control for an uncertain coaxial octorotor UAV (COUAV) with the actuator faults. Such a strategy is composed of manifold coefficients, which are adjusted by employing gradient descent method. It is also composed of continuous controllers that are designed by utilizing the radial basis function neural network (RBFNN) to approximate the total disturbances, where the approximation errors of RBFNN are estimated by using the adaptive control method. Moreover, the developed SMC strategy allows tuning the adaptive coefficients of the constructed manifolds, eliminating the inherent chattering phenomenon, and addressing the robust and adaptive tracking control problems for an uncertain COUAV. Comparative simulation results are carried out to illustrate the effectiveness of the developed SMC strategy. ? 2022 IEEE.","Yes"
"2-s2.0-85119627951","10.1109/TCST.2021.3114265","2022","Article","23","IEEE Transactions on Control Systems Technology","S1,S2,S4","16","Temporal/Generalization, Uncertainty","Multirotors From Takeoff to Real-Time Full Identification Using the Modified Relay Feedback Test and Deep Neural Networks","Low-cost real-time identification of multirotor unmanned aerial vehicle (UAV) dynamics is an active area of research supported by the surge in demand and emerging application domains. Such real-time identification capabilities shorten development time and cost, making UAVs' technology more accessible, and enable a wide variety of advanced applications. In this article, we present a novel comprehensive approach, called DNN-MRFT, for real-time identification and tuning of multirotor UAVs using the modified relay feedback test (MRFT) and deep neural networks (DNNs). The main contribution is the development of a generalized framework for the application of DNN-MRFT to higher order systems. One of the notable advantages of DNN-MRFT is the exact estimation of identified process gain, which mitigates the inaccuracies introduced due to the use of the describing function method in approximating the response of Lure's systems. A secondary contribution is a generalized controller based on DNN-MRFT that takes off a UAV with unknown dynamics and identifies the inner loops dynamics in-flight. Using the developed framework, DNN-MRFT is sequentially applied to the outer translational loops of the UAV utilizing in-flight results obtained for the inner attitude loops. DNN-MRFT takes on average 15 s to get the full knowledge of multirotor UAV dynamics, and without any further tuning or calibration, the UAV would be able to pass through a vertical window and accurately follow trajectories achieving state-of-the-art performance. Such demonstrated accuracy, speed, and robustness of identification pushes the limits of state of the art in real-time identification of UAVs.  ? 1993-2012 IEEE.","Yes"
"2-s2.0-85218626571","10.3390/drones9020153","2025","Review","10","Drones","S1,S4","16","Temporal/Generalization, Uncertainty","Variations in Multi-Agent Actor?Critic Frameworks for Joint Optimizations in UAV Swarm Networks: Recent Evolution, Challenges, and Directions","Autonomous unmanned aerial vehicle (UAV) swarm networks (UAVSNs) can efficiently perform surveillance, connectivity, computing, and energy transfer services for ground users (GUs). These missions require trajectory planning, UAV-GUs association, task offloading, next-hop selection, and resource allocation, including transmit power, bandwidth, timeslots, caching, and computing resources, to enhance network performance. Owing to the highly dynamic topology, limited resources, stringent quality of service requirements, and lack of global knowledge, optimizing network performance in UAVSNs is very intricate. To address this, an adaptive joint optimization framework is required to handle both discrete and continuous decision variables, ensuring optimal performance under various dynamic constraints. A multi-agent deep reinforcement learning-based adaptive actor?critic framework offers an effective solution by leveraging its ability to extract hidden features through agent interactions, generate hybrid actions under uncertainty, and adaptively learn with scalable generalization in dynamic conditions. This paper explores the recent evolutions of actor?critic frameworks to deal with joint optimization problems in UAVSNs by proposing a novel taxonomy based on the modifications in the internal actor?critic neural network structure. Additionally, key open research challenges are identified, and potential solutions are suggested as directions for future research in UAVSNs. ? 2025 by the authors.","Yes"
"2-s2.0-105018850622","10.13195/j.kzyjc.2024.1443","2025","Article","1","Kongzhi yu Juece/Control and Decision","S6","16","Temporal/Generalization, Maneuver, Unity/VR/HITL","UAV air combat intelligent decision-making based on domain randomization enhanced EfficientZero; [???????? EfficientZero ??????????]","Unmanned aerial vehicle (UAV) intelligent air combat is a disruptive technology that can change the operational form of future warfare, with deep reinforcement learning serving as a crucial paradigm for achieving intelligent decision-making in air combat scenarios. Despite recent advancements in this area, reinforcement learning models designed based on virtual simulation interactions continue to struggle with low learning efficiency and poor generalization, making it difficult to achieve effective sim-to-real transfer. To enhance the transferability of air combat decision-making models from virtual simulation environments to real-world physical spaces, this paper proposes a close-range air combat maneuvering decision-making model based on the EfficientZero algorithm enhanced with domain randomization. The model efficiently learns decision-making strategies through self-play by leveraging interaction data generated in the process. Additionally, domain randomization techniques are employed to improve the model's robustness. Simulation results demonstrate that the intelligent decision-making model based on the EfficientZero algorithm efficiently utilizes air combat sample data, avoiding the common issue of strategy cycles in self-play. Furthermore, the use of domain randomization significantly improves the generalization performance and effectively enhances the robustness of the reinforcement learning model under reality gap conditions. ? 2025 Northeast University. All rights reserved.","Yes"
