"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimization of UAV Positioning by Fusion of Kalman Filtering and Machine Learning","Y. Wen; W. Zhang","School of Electrical Engineering and Artificial Intelligence, Xiamen University Malaysia, Sepang, Malaysia; School of Electrical Engineering and Artificial Intelligence, Xiamen University Malaysia, Sepang, Malaysia",2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),"23 Sep 2025","2025","","","01","05","With the wide application of unmanned aerial vehicles (UAVs) in the fields of navigation, monitoring and logistics, accurate trajectory estimation and localization have become the key factors to measure their performance. Although Extended Kalman Filter (EKF) is used as a traditional method to deal with linear systems, it suffers from the problem of limited estimation accuracy when facing nonlinear dynamic systems and high-noise environments. For this reason, this paper proposes a method that fuses the extended Kalman filter with the random forest regression model to improve the accuracy and robustness of flight trajectory estimation, and cross-sectionally compares the effects of other machine learning models to provide a reference for subsequent research. The experiments use multi-source heterogeneous sensor data from actual flight missions as inputs, and the output data are divided into training and test sets in a $7: 3$ ratio, and the evaluation metrics include the mean absolute error (MAE), the coefficient of determination ($R^{2}$), and the prediction time for the three axes of $X, Y$, and $Z$. The results show that the MAE of the fusion model in all axes directions is significantly lower than the case of using EKF alone, and the $\mathrm{R}^{\mathrm{2}}$ is also significantly improved, which verifies the effectiveness and applicability of the proposed method in complex environments.","","979-8-3315-0263-8","10.1109/AIEA66061.2025.11160555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160555","UAV localization;Extended Kalman Filter;Trajectory Estimation;Machine Learning;Data Fusion","Accuracy;Machine learning;Autonomous aerial vehicles;Transformers;Robustness;Trajectory;Nonlinear dynamical systems;Kalman filters;State estimation;Optimization","","","","14","IEEE","23 Sep 2025","1-3 Aug. 2025","1-3 Aug. 2025","IEEE","IEEE Conferences"
"Collision-Aware MPCC Integrated with Neural Augmentation for Quadrotor Trajectory Tracking","C. Hu; J. Wang; Y. Chen; Y. Chen; Z. Zheng; J. Meng; G. Lu","Polytechnic Institute, Zhejiang University, Hangzhou, China; School of Mechanical Engineering, Zhejiang University, Hangzhou, China; Polytechnic Institute, Zhejiang University, Hangzhou, China; National Elite, Institute of Engineering, Chongqing University, Chongqing, China; School of Mechanical Engineering, Zhejiang University, Hangzhou, China; School of Mechanical Engineering, Zhejiang University, Hangzhou, China; School of Mechanical Engineering, Zhejiang University, Hangzhou, China",2025 IEEE International Conference on Mechatronics (ICM),"26 Mar 2025","2025","","","1","6","This paper presents a trajectory tracking algorithm designed for autonomous quadrotors to navigate complex dy-namic environments that is resilient to collision disturbances. Since it combines Model Predictive Contouring Control (MPCC) with the capabilities of neural networks, our method is named MPCC Integrated with Neural Augmentation (MINA). By equip-ping the quadrotor with PVDF piezoelectric sensors, we achieve real-time perception of collision forces and utilize S4D-Conv Adaptive Net Architecture (SANA) for state computation, a network that integrates the advantages of S4D and convolutional kernels to enhance the accuracy of state predictions. We incorporate the predicted results into the MPCC framework to optimize the thrust output of the quadrotor for the next time step, ensuring precise trajectory tracking. Experimental validation demonstrates the reliability and effectiveness of our algorithm, providing an innovative solution for autonomous flight and trajectory tracking of quadrotors in complex dynamic environments.","2837-1151","979-8-3315-3389-2","10.1109/ICM62621.2025.10934936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10934936","trajectory tracking;control theory;machine learning","Trajectory tracking;Navigation;Heuristic algorithms;Neural networks;Reliability theory;Predictive models;Prediction algorithms;Real-time systems;Sensors;Quadrotors","","","","23","IEEE","26 Mar 2025","28 Feb.-2 March 2025","28 Feb.-2 March 2025","IEEE","IEEE Conferences"
"Dynamic tracking method for landing trajectory of power line patrol UAV Based on Chaos Genetic Algorithm","J. Yan; Z. Liu; C. Chen; J. Zhao","Training center of State Grid Hebei Electric Power Co., Ltd., Shijiazhuang, China; Training center of State Grid Hebei Electric Power Co., Ltd., Shijiazhuang, China; Training center of State Grid Hebei Electric Power Co., Ltd., Shijiazhuang, China; Training center of State Grid Hebei Electric Power Co., Ltd., Shijiazhuang, China",2021 International Conference on Machine Learning and Intelligent Systems Engineering (MLISE),"25 Nov 2021","2021","","","301","304","In order to further improve the stability of UAV trajectory tracking, this paper proposes a dynamic tracking method of UAV Landing Trajectory Based on chaos genetic algorithm. Firstly, the dynamics model of quadrotor UAV is established, and the landing mark which is easy to identify is designed. Using Zhang Zhengyou calibration algorithm, the transformation from real world 3D coordinates to image 2D coordinates is obtained, and the internal parameters of the computer are quickly calculated. On this basis, feature points are detected and identified to facilitate landing trajectory tracking. Using chaos genetic algorithm to divide the priority of landing path, the dynamic tracking of landing trajectory is realized. Experimental results show that the performance of the proposed method is stable. The proposed method has strong robustness in noise environment.","","978-1-6654-1736-5","10.1109/MLISE54096.2021.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9611735","Power Patrol;Rotor UAV;Chaos genetic algorithm;Track tracking","Chaos;Three-dimensional displays;Trajectory tracking;Heuristic algorithms;Simulation;Feature extraction;Robustness","","","","10","IEEE","25 Nov 2021","9-11 July 2021","9-11 July 2021","IEEE","IEEE Conferences"
"Improving UAV Localization Accuracy with Multimodal Sensor Data and Machine Learning Models","Y. Zhu","Nanjing University of Aeronautics and Astronautics, Nanjing, China",2025 5th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),"18 Nov 2025","2025","","","283","287","UAV sensor-based precise localization faces major challenges in complex environments such as forests and tunnels. Single-modal sensors (GNSS, INS) suffer from poor robustness and accuracy under these conditions. This study addresses this issue by integrating GNSS, INS and Barometer, focusing on improvements achieved through Extended Kalman algorithms and optimization machine learning models. Experimental results show that compared with the traditional Kalman algorithm, the method of adding a machine learning module after the Kalman algorithm has improved indicators such as $\mathbf{R}^{\mathbf{2}}$ and 3D visual trajectory.","","979-8-3315-9593-7","10.1109/AIIM67611.2025.11232743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232743","UAV localization;multimodal sensor fusion;machine learning;robustness;Kalman filter algorithm","Location awareness;Global navigation satellite system;Accuracy;Machine learning algorithms;Multimodal sensors;Autonomous aerial vehicles;Robustness;Data models;Kalman filters;Drones","","","","12","IEEE","18 Nov 2025","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"Edge-Optimized Multi-Modal Deep Learning for Real-Time Object Recognition and Threat Prioritization in Drone Systems","R. K; S. D","Department of Computer Science and Engineering, Saveetha School of Engineering, SIMATS Engineering, Chennai, India; Department of Computer Science and Engineering, Saveetha School of Engineering, SIMATS Engineering, Chennai, India",2025 5th International Conference on Mobile Networks and Wireless Communications (ICMNWC),"28 Jan 2026","2025","","","1","7","Unmanned aerial vehicles (UAVs) are increasingly deployed in surveillance missions where real-time object recognition and situational awareness are mission-critical. However, existing vision-based approaches often suffer from limited robustness under low-visibility conditions, high latency, and restricted computational resources in edge drone platforms. This paper proposes an Edge-Optimized Multi-Modal Deep Learning Framework (EOMDLF) that integrates visual, optical, and acoustic data streams for enhanced object recognition and threat localization. A Multi-Modal Spatio-Temporal Attention Fusion Network (M-STAFNet) is introduced, which combines CNN-based spatial feature extraction, temporal modeling with lightweight recurrent/transformer layers, and a novel Temporal Risk-Aware Attention (TRAA) mechanism to prioritize dynamic threats. Additionally, a Mission-Critical Awareness Layer computes real-time risk scores based on trajectory prediction, proximity analysis, and multimodal anomaly detection. To ensure deployability, the framework incorporates neural architecture search-based pruning and quantization for efficient edge deployment with sub- 100 ms latency. Experimental evaluations demonstrate improved recognition accuracy, threat prioritization, and runtime efficiency compared to state-of-the-art single-modality systems, making the framework suitable for real-world drone surveillance applications.","","979-8-3315-5664-8","10.1109/ICMNWC66779.2025.11354410","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11354410","drone surveillance;multi-modal deep learning;edge AI;spatio-temporal attention;object recognition;threat localization;risk-aware prioritization;UAV edge optimization","Deep learning;Surveillance;Image edge detection;Autonomous aerial vehicles;Real-time systems;Robustness;Trajectory;Object recognition;Optimization;Drones","","","","20","IEEE","28 Jan 2026","10-11 Dec. 2025","10-11 Dec. 2025","IEEE","IEEE Conferences"
"A Visually Impaired Seniors Guidance Quadrotor Trajectory Tracking Controller Design and Simulation","Z. Yu; Y. Hu; F. Ge",Beijing Normal University at Zhuhai; Beijing Normal University at Zhuhai; Beijing Normal University at Zhuhai,2024 43rd Chinese Control Conference (CCC),"17 Sep 2024","2024","","","851","856","The increasing number of elders is a new societal challenge in recent years. This paper aims to solve the problem of Visually Impaired Seniors’ Guidance Quadrotor trajectory tracking. In addition, unlike the classic controller, the Quadrotor trajectory tracking is based on the Lyapunov direct method and backstepping control law. To attach the tracking requirement, the controller was designed based on the following errors, position, linear velocity, angular velocity, linear acceleration, and angular acceleration. The final controller is based on Quadrotor four propellers generated force and torque. The simulation result denotes that the autonomous system is stable and following the desired path smoothly. In the mathematics aspect, all errors converge to an equilibrium point, which is close to zero. The controller increases the Quadrotor flight robustness under unknown disturbance. In the future, the research will focus on a path-planning algorithm for guidance between ground and Quadrotor under unknown obstacles. This technology can be applied to human guidance and self-driving UAVs (Unmanned Aerial Vehicles) in industry manufacture, logistics, geological exploration, and special assistance.","1934-1768","978-9-8875-8158-1","10.23919/CCC63176.2024.10662199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10662199","Autonomous quadrotor;trajectory tracking;Lyapunov direct method","Backstepping;Torque;Trajectory tracking;Navigation;System performance;Robustness;Stability analysis","","","","25","","17 Sep 2024","28-31 July 2024","28-31 July 2024","IEEE","IEEE Conferences"
"Research on Dynamic Return Method of UAV Formation Based on Machine Learning","W. Zhang; X. Ma; W. Hu","School of Astronautics, Northwestern Polytechnical University, Xi’an, China; School of Astronautics, Northwestern Polytechnical University, Xi’an, China; School of Astronautics, Northwestern Polytechnical University, Xi’an, China",2024 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),"25 Sep 2024","2024","","","25","32","As the number of UAVs increases, the probability of UAV formation failure is also higher than that of a single drone. Although the UAV formation may still have the ability to complete the mission at this time, the faulty UAV individual is an obstacle and unstable factor in the formation. Therefore, the emergency dynamic return of UAV formation is the key technology to solve this problem. In order to effectively deal with the situation of UAV being interfered with and malfunctioning within the formation, this paper proposes a UAV path planning algorithm based on deep reinforcement learning and a trajectory prediction algorithm based on informer. The algorithm uses the information before UAV is interfered with to predict the formation’s trajectory and achieves actively return to the formation.","","979-8-3503-5257-3","10.1109/ACIRS62330.2024.10684949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10684949","UAV formation;machine learning;path planning;track prediction","Machine learning algorithms;Heuristic algorithms;Autonomous aerial vehicles;Prediction algorithms;Robustness;Trajectory;Safety","","1","","16","IEEE","25 Sep 2024","18-20 July 2024","18-20 July 2024","IEEE","IEEE Conferences"
"UAV Trajectory Planning for AoI-Minimal Data Collection in UAV-Aided IoT Networks by Transformer","B. Zhu; E. Bedeer; H. H. Nguyen; R. Barton; Z. Gao","Department of Electrical and Computer Engineering, University of Saskatchewan, Saskatoon, Canada; Department of Electrical and Computer Engineering, University of Saskatchewan, Saskatoon, Canada; Department of Electrical and Computer Engineering, University of Saskatchewan, Saskatoon, Canada; Cisco Systems Inc., San Jose, CA, USA; School of Information and Electronics, Beijing Institute of Technology, Beijing, China",IEEE Transactions on Wireless Communications,"10 Feb 2023","2023","22","2","1343","1358","Maintaining freshness of data collection in Internet-of-Things (IoT) networks has attracted increasing attention. By taking into account age-of-information (AoI), we investigate the trajectory planning problem of an unmanned aerial vehicle (UAV) that is used to aid a cluster-based IoT network. An optimization problem is formulated to minimize the total AoI of the collected data by the UAV from the ground IoT network. Since the total AoI of the IoT network depends on the flight time of the UAV and the data collection time at hovering points, we jointly optimize the selection of hovering points and the visiting order to these points. We exploit the state-of-the-art transformer and the weighted A*, which is a path search algorithm, to design a machine learning algorithm to solve the formulated problem. The whole UAV-IoT system is fed into the encoder network of the proposed algorithm, and the algorithm’s decoder network outputs the visiting order to ground clusters. Then, the weighted A* is used to find the hovering point for each cluster in the ground IoT network. Simulation results show that the trained model by the proposed algorithm has a good generalization ability to generate solutions for IoT networks with different numbers of ground clusters, without the need to retrain the model. Furthermore, results show that our proposed algorithm can find better UAV trajectories with the minimum total AoI when compared to other algorithms.","1558-2248","","10.1109/TWC.2022.3204438","Natural Sciences and Engineering Research Council of Canada (NSERC)/Cisco Industrial Research Chair in Low-Power Wireless Access for Sensor Networks; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892691","AoI;IoT;transformer;trajectory optimization;UAV","Trajectory;Data collection;Clustering algorithms;Autonomous aerial vehicles;Transformers;Internet of Things;Optimization","","189","","41","IEEE","14 Sep 2022","Feb. 2023","","IEEE","IEEE Journals"
"Learning Short-Term Spatial–Temporal Dependency for UAV 2-D Trajectory Forecasting","S. Zhou; L. Yang; X. Liu; L. Wang","School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China",IEEE Sensors Journal,"13 Nov 2024","2024","24","22","38256","38269","Trajectory forecasting for unmanned aerial vehicle (UAV) serves a crucial role in the detection and tracking of UAV. However, most existing trajectory sequence forecasting methods fail to excavate and characterize the short-term spatial variation feature in different UAV 2-D maneuvers. In this article, we propose a novel UAV 2-D trajectory forecasting mechanism and spatial-temporal learning aggregator (STLA) to enable accurate and robust short-term UAV 2-D trajectory forecasting in vision-based systems. Specifically, the short-term UAV trajectory correlation method is introduced to separate the azimuth and elevation dimensions, which exposes the spatial variation feature of consecutive UAV trajectory points and eases the burden of requiring vast trajectory data. Besides, STLA is employed to fully explore the spatial variation dependence across the temporal domain by utilizing the proposed spatial feature encoder. Furthermore, to precisely learn and predict the UAV 2-D trajectory under different UAV maneuvers, a spatial-temporal dependency module with a degenerate self-attention mechanism is proposed to adaptively learn influential spatial variation in the feature map. The evaluation of forecasting different short-term UAV 2-D maneuvers demonstrates the effectiveness and robustness of our method, which outperforms the state-of-the-art MLP-based methods as well as mainstream LSTM-based and Transformer-based methods.","1558-1748","","10.1109/JSEN.2024.3466516","Science and Technology Planning Project of Guangdong Science and Technology Department; Guangdong Key Laboratory of Advanced IntelliSense Technology(grant numbers:2019B121203006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10700640","Deep learning;degenerate self-attention mechanism;short-term trajectory correlation;short-term unmanned aerial vehicle (UAV) 2-D trajectory forecasting;spatial variation dependence","Trajectory;Autonomous aerial vehicles;Forecasting;Predictive models;Accuracy;Feature extraction;Sensors;Transformers;Time series analysis;Probabilistic logic","","2","","61","IEEE","30 Sep 2024","15 Nov.15, 2024","","IEEE","IEEE Journals"
"Robust Trajectory and Resource Allocation for UAV Communications in Uncertain Environments With No-Fly Zone: A Deep Learning Approach","W. Lee; K. Lee","Graduate School of Information, Yonsei University, Seoul, Republic of Korea; Department of Information and Communication Engineering, Dongguk University, Seoul, Republic of Korea",IEEE Transactions on Intelligent Transportation Systems,"4 Oct 2024","2024","25","10","14233","14244","In this paper, we investigate robust trajectory design and resource allocation in unmanned aerial vehicle (UAV) enabled wireless networks to maximize the minimum average spectral efficiency (SE) among mobile nodes (MNs) on the ground while coping with uncertainties in trajectory. Our work specifically addresses practical challenges encountered during trajectory planning, namely: 1) the mobility of MNs, causing changes in their locations over time; 2) the positioning error of UAV, leading to deviations from its planned trajectory; and 3) the presence of no-fly zones (NFZs), which must be avoided during UAV flight. Taking these practical aspects into account, we propose a deep learning (DL) framework that integrates a deep neural network (DNN) structure with an unsupervised learning-based training methodology. The former enables efficient modeling of UAV trajectory and resource allocation, while the latter allows effective training of DNNs without labeled data. Through performance evaluations, we demonstrate that the proposed DL-based scheme outperforms the comparative baseline schemes in terms of the minimum average SE by optimizing trajectory and resource allocation with low computation time. Furthermore, we validate the robustness of our proposed scheme against the uncertainty associated with positioning errors.","1558-0016","","10.1109/TITS.2024.3399913","Institute of Information and Communications Technology Planning and Evaluation (IITP) through the Leading Generative AI Human Resources Development(grant numbers:IITP-2024-RS-2024-00397085); National Research Foundation of Korea (NRF); Korea Government (MSIT)(grant numbers:RS-2024-00343262); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10537067","Unmanned aerial vehicle;trajectory;optimization;positioning error;mobility;no-fly-zone;deep learning;unsupervised learning","Autonomous aerial vehicles;Trajectory;Resource management;Optimization;Trajectory planning;Artificial neural networks;Wireless communication","","7","","48","IEEE","22 May 2024","Oct. 2024","","IEEE","IEEE Journals"
